;Ф И О;Беспалов;;;;;;;;;;
;;;;;;;;;;;;
;Дата смены;03.08-04.08.2016 (24)  ;;;;;;;;;;
;;;;;;;;;;Не заполнять;;
;;Единица Измерения;Цена единицы товара;Показания на нач смены;Поставка ТМЦ за смену;Наличие ТМЦ на конец смены, шт;Расход НЕ включ в продажу: ;;;;;
;;;;;;;Отчет;Брак;Техниче-ские  нужды;Продано за смену, шт;Сумма продаж за смену , грн.;
;Расходные материалы:;; ;;;;;;;;;
;Картриджи для принтера ;штук;0;5;;5;;;;0;0,00  ;
; --из них (картриджей) заправ-лены  (не считая подключённого);штук;0;2;;2;;;;0;0,00  ;
;Бумага на складе (в пачках);;0;0;;0;;;;0;0,00  ;
;Услуги печати(показания на МФУ);;;;;;;;;0;0,00  ;
;Черно-белая печать;страница;2;78826;;78865;1;5;6;27;54,00  ;
;Продажа дисков;;;;;;;  ;;0;0,00  ;
;CD;штук;7;1;;1;;;;0;0,00  ;
;DVD;штук;8;11;;11;;;;0,00;0,00  ;
;Всего;;;;;;;;; ;54,00  ;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;; ;;;;;
